Datum;BundeslandID;Bevölkerung;Name;GemeldeteImpfungenLaender;GemeldeteImpfungenLaenderPro100
2021-01-18T23:59:59+01:00;1;294436;Burgenland;689;0.23
2021-01-18T23:59:59+01:00;2;561293;Kärnten;8269;Jän.47
2021-01-18T23:59:59+01:00;3;1684287;Niederösterreich;16625;0.99
2021-01-18T23:59:59+01:00;4;1490279;Oberösterreich;9500;0.64
2021-01-18T23:59:59+01:00;5;558410;Salzburg;2621;0.47
2021-01-18T23:59:59+01:00;6;1246395;Steiermark;13815;01.Nov
2021-01-18T23:59:59+01:00;7;757634;Tirol;5867;0.77
2021-01-18T23:59:59+01:00;8;397139;Vorarlberg;10910;Feb.75
2021-01-18T23:59:59+01:00;9;1911191;Wien;20677;01.Aug
2021-01-18T23:59:59+01:00;10;8901064;Österreich;88973;1.00
2021-01-19T23:59:59+01:00;1;294436;Burgenland;1909;0.65
2021-01-19T23:59:59+01:00;2;561293;Kärnten;8315;Jän.48
2021-01-19T23:59:59+01:00;3;1684287;Niederösterreich;17270;01.Mär
2021-01-19T23:59:59+01:00;4;1490279;Oberösterreich;10288;0.69
2021-01-19T23:59:59+01:00;5;558410;Salzburg;3593;0.64
2021-01-19T23:59:59+01:00;6;1246395;Steiermark;14510;Jän.16
2021-01-19T23:59:59+01:00;7;757634;Tirol;5867;0.77
2021-01-19T23:59:59+01:00;8;397139;Vorarlberg;11321;Feb.85
2021-01-19T23:59:59+01:00;9;1911191;Wien;24316;Jän.27
2021-01-19T23:59:59+01:00;10;8901064;Österreich;97389;01.Sep
2021-01-20T23:59:59+01:00;1;294436;Burgenland;3507;Jän.19
2021-01-20T23:59:59+01:00;2;561293;Kärnten;8997;Jän.60
2021-01-20T23:59:59+01:00;3;1684287;Niederösterreich;29706;Jän.76
2021-01-20T23:59:59+01:00;4;1490279;Oberösterreich;15242;01.Feb
2021-01-20T23:59:59+01:00;5;558410;Salzburg;4612;0.83
2021-01-20T23:59:59+01:00;6;1246395;Steiermark;19015;Jän.53
2021-01-20T23:59:59+01:00;7;757634;Tirol;5867;0.77
2021-01-20T23:59:59+01:00;8;397139;Vorarlberg;11695;Feb.94
2021-01-20T23:59:59+01:00;9;1911191;Wien;28713;Jän.50
2021-01-20T23:59:59+01:00;10;8901064;Österreich;127354;Jän.43
2021-01-21T23:59:59+01:00;1;294436;Burgenland;3987;Jän.35
2021-01-21T23:59:59+01:00;2;561293;Kärnten;9850;Jän.75
2021-01-21T23:59:59+01:00;3;1684287;Niederösterreich;29706;Jän.76
2021-01-21T23:59:59+01:00;4;1490279;Oberösterreich;19629;Jän.32
2021-01-21T23:59:59+01:00;5;558410;Salzburg;5728;01.Mär
2021-01-21T23:59:59+01:00;6;1246395;Steiermark;27138;Feb.18
2021-01-21T23:59:59+01:00;7;757634;Tirol;12004;Jän.58
2021-01-21T23:59:59+01:00;8;397139;Vorarlberg;12148;03.Jun
2021-01-21T23:59:59+01:00;9;1911191;Wien;32653;Jän.71
2021-01-21T23:59:59+01:00;10;8901064;Österreich;152843;Jän.72
2021-01-22T23:59:59+01:00;1;294436;Burgenland;4592;Jän.56
2021-01-22T23:59:59+01:00;2;561293;Kärnten;10687;Jän.90
2021-01-22T23:59:59+01:00;3;1684287;Niederösterreich;26706;Jän.59
2021-01-22T23:59:59+01:00;4;1490279;Oberösterreich;24140;Jän.62
2021-01-22T23:59:59+01:00;5;558410;Salzburg;6104;01.Sep
2021-01-22T23:59:59+01:00;6;1246395;Steiermark;29682;Feb.38
2021-01-22T23:59:59+01:00;7;757634;Tirol;13349;Jän.76
2021-01-22T23:59:59+01:00;8;397139;Vorarlberg;12148;03.Jun
2021-01-22T23:59:59+01:00;9;1911191;Wien;36284;Jän.90
2021-01-22T23:59:59+01:00;10;8901064;Österreich;163692;Jän.84
2021-01-23T23:59:59+01:00;1;294436;Burgenland;4725;Jän.60
2021-01-23T23:59:59+01:00;2;561293;Kärnten;10687;Jän.90
2021-01-23T23:59:59+01:00;3;1684287;Niederösterreich;26706;Jän.59
2021-01-23T23:59:59+01:00;4;1490279;Oberösterreich;26854;Jän.80
2021-01-23T23:59:59+01:00;5;558410;Salzburg;6316;Jän.13
2021-01-23T23:59:59+01:00;6;1246395;Steiermark;31158;Feb.50
2021-01-23T23:59:59+01:00;7;757634;Tirol;13349;Jän.76
2021-01-23T23:59:59+01:00;8;397139;Vorarlberg;12404;03.Dez
2021-01-23T23:59:59+01:00;9;1911191;Wien;36501;Jän.91
2021-01-23T23:59:59+01:00;10;8901064;Österreich;168700;Jän.90
2021-01-24T23:59:59+01:00;1;294436;Burgenland;5192;Jän.76
